away_team,away_score,home_team,home_score,id
SF,16,NYG,13,220905019
NYJ,37,BUF,31,220908002
MIN,23,CHI,27,220908003
SD,34,CIN,6,220908004
KC,40,CLE,39,220908005
ATL,34,GB,37,220908009
PHI,24,TEN,27,220908010
DET,21,MIA,49,220908015
ARI,23,WSH,31,220908028
BAL,7,CAR,10,220908029
IND,28,JAX,25,220908030
STL,16,DEN,23,220908007
SEA,17,OAK,31,220908013
NO,26,TB,20,220908027
DAL,10,HOU,19,220908034
PIT,14,NE,30,220909017
CHI,14,ATL,13,220915001
CIN,7,CLE,20,220915005
TEN,13,DAL,21,220915006
MIA,21,IND,13,220915011
JAX,23,KC,16,220915012
GB,20,NO,35,220915018
NE,44,NYJ,7,220915020
DET,7,CAR,31,220915029
TB,25,BAL,0,220915033
NYG,26,STL,21,220915014
ARI,24,SEA,13,220915026
BUF,45,MIN,39,220915016
HOU,3,SD,24,220915024
DEN,24,SF,14,220915025
OAK,30,PIT,17,220915023
PHI,37,WSH,7,220916028
NO,29,CHI,23,220922003
CLE,31,TEN,28,220922010
NYJ,3,MIA,30,220922015
CAR,21,MIN,14,220922016
KC,38,NE,41,220922017
DAL,13,PHI,44,220922021
IND,23,HOU,3,220922034
BUF,23,DEN,28,220922007
SD,23,ARI,15,220922022
GB,37,DET,31,220922008
SEA,6,NYG,9,220922019
WSH,10,SF,20,220922025
CIN,3,ATL,30,220922001
STL,14,TB,26,220923027
CHI,27,BUF,33,220929002
NO,21,DET,26,220929008
CAR,14,GB,17,220929009
MIA,30,KC,48,220929012
DAL,13,STL,10,220929014
HOU,17,PHI,35,220929021
CLE,13,PIT,16,220929023
NYJ,3,JAX,28,220929030
TB,35,CIN,7,220929004
NYG,7,ARI,21,220929022
TEN,25,OAK,52,220929013
NE,14,SD,21,220929024
MIN,23,SEA,48,220929026
DEN,23,BAL,34,220930033
TB,20,ATL,6,221006001
OAK,49,BUF,31,221006002
NYG,21,DAL,17,221006006
WSH,31,TEN,14,221006010
CIN,21,IND,28,221006011
NE,13,MIA,26,221006015
PIT,29,NO,32,221006018
ARI,16,CAR,13,221006029
SD,9,DEN,26,221006007
KC,29,NYJ,25,221006020
STL,13,SF,37,221006025
PHI,25,JAX,28,221006030
BAL,26,CLE,21,221006005
GB,34,CHI,21,221007003
PIT,34,CIN,7,221013004
CAR,13,DAL,14,221013006
BAL,20,IND,22,221013011
DET,24,MIN,31,221013016
GB,28,NE,10,221013017
ATL,17,NYG,10,221013019
CLE,3,TB,17,221013027
NO,43,WSH,27,221013028
BUF,31,HOU,24,221013034
JAX,14,TEN,23,221013010
OAK,13,STL,28,221013014
KC,34,SD,35,221013024
MIA,24,DEN,22,221013007
SF,28,SEA,21,221014026
CAR,0,ATL,30,221020001
CHI,20,DET,23,221020008
DEN,37,KC,34,221020012
SEA,20,STL,37,221020014
BUF,23,MIA,10,221020015
SF,27,NO,35,221020018
MIN,7,NYJ,20,221020020
JAX,10,BAL,17,221020033
HOU,17,CLE,34,221020005
SD,27,OAK,21,221020013
WSH,9,GB,30,221020009
TB,10,PHI,20,221020021
DAL,6,ARI,9,221020022
IND,10,PIT,28,221021023
DET,17,BUF,24,221027002
TEN,30,CIN,24,221027004
SEA,17,DAL,14,221027006
OAK,10,KC,20,221027012
CHI,7,MIN,25,221027016
ATL,37,NO,35,221027018
CLE,24,NYJ,21,221027020
TB,12,CAR,9,221027029
PIT,31,BAL,18,221027033
ARI,28,SF,38,221027025
DEN,24,NE,16,221027017
HOU,21,JAX,19,221027030
IND,21,WSH,26,221027028
NYG,3,PHI,17,221028021
BAL,17,ATL,20,221103001
NE,38,BUF,7,221103002
PHI,19,CHI,13,221103003
PIT,23,CLE,20,221103005
DAL,7,DET,9,221103008
TEN,23,IND,15,221103011
MIN,24,TB,38,221103027
CIN,38,HOU,3,221103034
NYJ,44,SD,13,221103024
SF,23,OAK,20,221103013
STL,27,ARI,14,221103022
WSH,14,SEA,3,221103026
JAX,17,NYG,24,221103019
MIA,10,GB,24,221104009
DET,14,GB,40,221110009
HOU,10,TEN,17,221110010
