,first_downs_away,first_downs_passing_away,first_down_rushing_away,first_down_by_penalty_away,third_down_away,fourth_down_away,total_plays_away,total_yards_away,total_drives_away,yards_per_play_away,passing_away,comp_att_away,yards_per_pass_away,int_thrown_away,sack_yards_lost_away,rushing_away,rushing_att_away,yards_per_rush_away,red_zone_att_away,penalty_away,turnovers_away,Fumbles lost,int_thrown_away,defensive_td_away,possession_away,,first_downs_home,first_downs_passing_home,first_down_rushing_home,first_down_by_penalty_home,third_down_home,fourth_down_home,total_plays_home,total_yards_home,total_drives_home,yards_per_play_home,passing_home,comp_att_home,yards_per_pass_home,int_thrown_home,sack_yards_lost_home,rushing_home,rushing_att_home,yards_per_rush_home,red_zone_att_home,penalty_home,turnovers_home,Fumbles lost,int_thrown_home,defensive_td_home,possession_home,id
,18,13,4,1,6-12,0-1,63,326,15,5.2,234,23-32,6.7,1,3-23,92,28,3.3,2-2,6-65,5,4,1,0,30:09,,20,13,6,1,9-16,0-0,63,378,13,6.0,254,22-36,6.9,0,1-6,124,26,4.8,3-3,4-30,0,0,0,2,29:51,401547593
,24,16,8,0,5-12,0-1,67,424,10,6.3,281,26-34,7.6,2,3-22,143,30,4.8,2-5,4-22,2,0,2,0,33:41,,22,17,5,0,6-13,1-1,69,378,12,5.5,298,29-42,6.3,1,5-26,80,22,3.6,2-4,3-26,1,0,1,0,33:08,401547604
,13,9,3,1,4-12,2-3,54,216,12,4.0,142,18-26,4.7,2,4-30,74,24,3.1,2-2,8-101,3,1,2,0,26:40,,19,8,9,2,6-15,1-2,65,372,11,5.7,202,18-28,6.5,0,3-13,170,34,5.0,3-6,2-10,0,0,0,0,33:20,401547607
,20,12,7,1,5-13,2-2,62,287,11,4.6,204,18-32,6.0,0,2-19,83,28,3.0,2-3,4-40,1,1,0,0,28:42,,29,18,10,1,5-10,1-1,64,448,10,7.0,263,24-34,7.3,0,2-15,185,28,6.6,6-6,2-54,0,0,0,0,31:18,401547606
,12,6,5,1,4-18,0-2,70,236,15,3.4,148,19-40,3.4,2,3-18,88,27,3.3,1-1,4-19,3,1,2,1,29:00,,14,13,1,0,4-16,1-1,67,377,16,5.6,348,29-45,7.1,3,4-31,29,18,1.6,1-3,9-48,3,0,3,0,31:00,401547605
,22,18,3,1,7-11,1-1,60,452,9,7.5,353,22-28,10.7,0,5-28,99,27,3.7,2-4,4-52,1,1,0,0,29:07,,18,13,4,1,6-12,0-2,58,321,9,5.5,261,29-39,6.4,0,2-23,60,17,3.5,2-5,4-31,1,1,0,0,30:53,401547598
,21,12,5,4,4-15,1-1,72,340,13,4.7,192,23-36,4.8,1,4-37,148,32,4.6,1-3,8-67,1,0,1,0,36:32,,14,8,6,0,5-15,1-1,63,204,11,3.2,138,17-26,4.2,1,7-61,66,30,2.2,1-2,5-50,1,0,1,1,33:28,401547595
,11,9,0,2,5-13,0-2,55,103,11,1.9,80,18-37,1.9,2,6-56,23,12,1.9,0-0,7-55,4,2,2,0,23:39,,16,9,5,2,6-15,2-2,57,290,10,5.1,213,23-26,7.3,0,3-15,77,28,2.8,2-5,9-65,0,0,0,0,36:21,401547594
,19,15,2,2,5-13,0-1,61,326,13,5.3,283,28-38,6.9,2,3-26,43,20,2.2,3-5,2-15,2,0,2,0,31:14,,10,9,1,0,2-12,1-2,51,206,14,4.0,154,23-31,4.4,1,4-26,52,16,3.3,2-4,5-45,1,0,1,0,28:46,401547608
,12,7,3,2,2-16,3-5,61,193,9,3.2,133,22-38,3.0,0,7-57,60,16,3.8,0-0,5-32,0,0,0,0,26:33,,20,11,7,2,6-12,0-0,58,296,9,5.1,209,23-29,7.0,0,1-9,87,28,3.1,2-2,6-58,0,0,0,0,33:27,401547599
,12,8,3,1,6-13,0-1,51,204,10,4.0,152,12-20,7.6,1,0-0,52,31,1.7,1-2,4-25,2,1,1,0,26:04,,17,7,8,2,5-15,0-2,63,283,10,4.5,154,18-24,5.7,0,3-13,129,36,3.6,0-3,4-35,0,0,0,0,33:56,401547603
,14,9,3,2,3-14,3-5,58,297,12,5.1,218,19-36,5.9,1,1-8,79,21,3.8,2-3,3-28,1,0,1,0,24:07,,23,10,12,1,9-16,0-0,73,445,12,6.1,249,25-33,6.9,0,3-9,196,37,5.3,1-3,5-36,2,2,0,0,35:53,401547597
,24,12,9,3,4-7,0-0,54,406,10,7.5,262,18-28,9.4,0,0-0,144,26,5.5,4-4,1-5,0,0,0,1,25:49,,22,11,11,0,7-16,3-4,72,436,10,6.1,202,26-39,4.8,2,3-9,234,30,7.8,2-3,4-28,2,0,2,0,34:11,401547596
,14,6,7,1,5-13,1-2,57,195,8,3.4,106,21-34,2.9,1,3-28,89,20,4.5,1-2,5-48,1,0,1,0,24:55,,28,5,20,3,5-9,0-0,65,351,9,5.4,85,7-15,5.3,0,1-9,266,49,5.4,3-4,1-15,0,0,0,0,35:05,401547600
,25,9,14,2,5-12,1-1,69,396,10,5.7,145,14-24,5.4,1,3-26,251,42,6.0,2-5,6-54,1,0,1,0,34:19,,16,9,6,1,3-13,2-3,61,333,10,5.5,258,25-43,5.9,0,1-6,75,17,4.4,0-3,6-47,2,2,0,0,25:41,401547602
,23,9,13,1,9-16,1-1,69,321,10,4.7,143,17-31,4.6,2,0-0,178,38,4.7,2-3,5-40,2,0,2,0,32:58,,16,7,7,2,6-14,0-0,59,297,10,5.0,197,22-33,5.6,0,2-11,100,24,4.2,0-2,5-35,0,0,0,0,27:02,401547601
