,away_team,away_score,home_team,home_score,id
0,SF,16,NYG,13,220905019
1,NYJ,37,BUF,31,220908002
2,MIN,23,CHI,27,220908003
3,SD,34,CIN,6,220908004
4,KC,40,CLE,39,220908005
5,ATL,34,GB,37,220908009
6,PHI,24,TEN,27,220908010
7,DET,21,MIA,49,220908015
8,ARI,23,WSH,31,220908028
9,BAL,7,CAR,10,220908029
10,IND,28,JAX,25,220908030
11,STL,16,DEN,23,220908007
12,SEA,17,OAK,31,220908013
13,NO,26,TB,20,220908027
14,DAL,10,HOU,19,220908034
15,PIT,14,NE,30,220909017
16,CHI,14,ATL,13,220915001
17,CIN,7,CLE,20,220915005
18,TEN,13,DAL,21,220915006
19,MIA,21,IND,13,220915011
20,JAX,23,KC,16,220915012
21,GB,20,NO,35,220915018
22,NE,44,NYJ,7,220915020
23,DET,7,CAR,31,220915029
24,TB,25,BAL,0,220915033
25,NYG,26,STL,21,220915014
26,ARI,24,SEA,13,220915026
27,BUF,45,MIN,39,220915016
28,HOU,3,SD,24,220915024
29,DEN,24,SF,14,220915025
30,OAK,30,PIT,17,220915023
31,PHI,37,WSH,7,220916028
32,NO,29,CHI,23,220922003
33,CLE,31,TEN,28,220922010
34,NYJ,3,MIA,30,220922015
35,CAR,21,MIN,14,220922016
36,KC,38,NE,41,220922017
37,DAL,13,PHI,44,220922021
38,IND,23,HOU,3,220922034
39,BUF,23,DEN,28,220922007
40,SD,23,ARI,15,220922022
41,GB,37,DET,31,220922008
42,SEA,6,NYG,9,220922019
43,WSH,10,SF,20,220922025
44,CIN,3,ATL,30,220922001
45,STL,14,TB,26,220923027
46,CHI,27,BUF,33,220929002
47,NO,21,DET,26,220929008
48,CAR,14,GB,17,220929009
49,MIA,30,KC,48,220929012
50,DAL,13,STL,10,220929014
51,HOU,17,PHI,35,220929021
52,CLE,13,PIT,16,220929023
53,NYJ,3,JAX,28,220929030
54,TB,35,CIN,7,220929004
55,NYG,7,ARI,21,220929022
56,TEN,25,OAK,52,220929013
57,NE,14,SD,21,220929024
58,MIN,23,SEA,48,220929026
59,DEN,23,BAL,34,220930033
60,TB,20,ATL,6,221006001
