,away_team,away_score,home_team,home_score,id
0,CHI,16,DET,14,401326494
0,LV,36,DAL,33,401326495
0,BUF,31,NO,6,401326496
0,PIT,10,CIN,41,401326497
0,TB,38,IND,31,401326499
0,CAR,10,MIA,33,401326501
0,TEN,13,NE,36,401326502
0,PHI,7,NYG,13,401326503
0,ATL,21,JAX,14,401326500
0,NYJ,21,HOU,14,401326498
0,LAC,13,DEN,28,401326504
0,LAR,28,GB,36,401326505
0,MIN,26,SF,34,401326506
0,CLE,10,BAL,16,401326507
0,SEA,15,WSH,17,401326508
0,DAL,27,NO,17,401326509
0,TB,30,ATL,17,401326510
0,ARI,33,CHI,22,401326511
0,LAC,41,CIN,22,401326512
0,MIN,27,DET,29,401326513
0,NYG,9,MIA,20,401326516
0,PHI,33,NYJ,18,401326517
0,IND,31,HOU,0,401326514
0,WSH,17,LV,15,401326518
0,JAX,7,LAR,37,401326519
0,BAL,19,PIT,20,401326520
0,SF,23,SEA,30,401326521
0,DEN,9,KC,22,401326515
0,NE,14,BUF,10,401326522
0,PIT,28,MIN,36,401326523
0,BAL,22,CLE,24,401326526
0,JAX,0,TEN,20,401326530
0,LV,9,KC,48,401326528
0,NO,30,NYJ,9,401326529
0,DAL,27,WSH,20,401326531
0,ATL,29,CAR,21,401326524
0,SEA,33,HOU,13,401326527
0,DET,10,DEN,38,401326532
0,NYG,21,LAC,37,401326533
0,SF,26,CIN,23,401326525
0,BUF,27,TB,33,401326534
0,CHI,30,GB,45,401326535
0,LAR,30,ARI,23,401326536
0,KC,34,LAC,28,401326537
0,NE,17,IND,27,401326540
0,CAR,14,BUF,31,401326538
0,ARI,12,DET,30,401326544
0,NYJ,24,MIA,31,401326541
0,DAL,21,NYG,6,401326546
0,TEN,13,PIT,19,401326547
0,HOU,30,JAX,16,401326545
0,CIN,15,DEN,10,401326548
0,ATL,13,SF,31,401326549
0,GB,31,BAL,30,401326543
0,NO,9,TB,0,401326551
0,LV,16,CLE,14,401326539
0,MIN,17,CHI,9,401326552
0,SF,17,TEN,20,401326553
0,CLE,22,GB,24,401326554
0,IND,22,ARI,16,401326555
0,DET,16,ATL,20,401326556
0,BAL,21,CIN,41,401326558
0,LAR,30,MIN,23,401326560
0,BUF,33,NE,21,401326561
0,JAX,21,NYJ,26,401326562
0,NYG,10,PHI,34,401326563
0,TB,32,CAR,6,401326557
0,LAC,29,HOU,41,401326559
0,CHI,25,SEA,24,401326564
0,PIT,10,KC,36,401326565
0,DEN,13,LV,17,401326566
0,WSH,14,DAL,56,401326567
0,MIA,20,NO,3,401326568
0,ATL,15,BUF,29,401326569
0,NYG,3,CHI,29,401326570
0,KC,31,CIN,34,401326571
0,MIA,3,TEN,34,401326577
0,LV,23,IND,20,401326573
0,JAX,10,NE,50,401326574
0,TB,28,NYJ,24,401326576
0,PHI,20,WSH,16,401326578
0,LAR,20,BAL,19,401326581
0,DEN,13,LAC,34,401326579
0,HOU,7,SF,23,401326580
0,ARI,25,DAL,22,401326572
0,CAR,10,NO,18,401326575
0,DET,29,SEA,51,401326582
0,MIN,10,GB,37,401326583
0,CLE,14,PIT,26,401326584
